Chr,Start,End,GeneID,Homolog_Anolis,Homolog_Python,Homolog_Thamnophis,baseMean,log2FoldChange,lfcSE,pvalue,padj
scaffold-mi4,4643803,4648765,maker-scaffold-mi4-augustus-gene-15.13,vbp1,VBP1,VBP1,12.38255212,1.52575206,1.071999295,0.00213503,0.040786899
scaffold-mi4,4545341,4573290,maker-scaffold-mi4-augustus-gene-15.10,gab3,GAB3,GAB3,124.533578,-2.381985747,1.030080642,9.89e-05,0.005045756
scaffold-mi4,8448290,8460668,maker-scaffold-mi4-augustus-gene-28.13,mpp1,MPP1,LOC106556546,77.09131458,-1.472243831,1.022679709,0.002306676,0.042847373
scaffold-mi4,9326107,9350151,maker-scaffold-mi4-augustus-gene-31.13,xpnpep2,XPNPEP2,XPNPEP1,611.6813608,-1.765615228,0.850513858,0.000303292,0.011338311
scaffold-mi4,15850563,15863686,maker-scaffold-mi4-augustus-gene-52.18,mamld1,MAMLD1,MAMLD1,51.51733838,-1.295894361,0.593601678,0.000554628,0.017084351
scaffold-mi5,2095312,2108170,maker-scaffold-mi5-augustus-gene-7.13,LOC100566844,LOC103063953,LOC106545929,14.22984576,-1.740335676,1.651439372,0.001096417,0.026672789
scaffold-mi5,2113449,2115604,maker-scaffold-mi5-augustus-gene-7.14,ocm,LOC103063714,LOC106542243,61.66699253,-1.53740064,1.174088075,0.00245894,0.044757429
scaffold-mi5,2954191,2997153,augustus_masked-scaffold-mi5-processed-gene-10.2,LOC100563359,LOC103052383,LOC106543994,282.3847486,-1.65703029,1.557553594,0.001576147,0.033661658
scaffold-mi5,2954191,2997153,augustus_masked-scaffold-mi5-processed-gene-10.2,LOC100563359,LOC103052383,LOC106543994,6.708292356,-1.555714533,1.41825188,0.002397598,0.043909578
scaffold-mi5,2954191,2997153,augustus_masked-scaffold-mi5-processed-gene-10.2,LOC100563359,LOC103052383,LOC106543994,112.660477,-3.797718557,1.121587843,2.42e-06,0.000291152
scaffold-mi5,7943694,7947570,maker-scaffold-mi5-augustus-gene-26.6,rab26,RAB37,LOC106546282,321.6819,-2.46665758,0.898049886,3.01e-05,0.002126536
scaffold-mi5,9913603,9929695,augustus_masked-scaffold-mi5-processed-gene-33.4,LOC100560491,LOC103058010,SEPT9,81.27163949,-1.248411804,0.474881531,0.0001778,0.007761688
scaffold-mi5,10579762,10601195,augustus_masked-scaffold-mi5-processed-gene-35.2,LOC100565980,HAGHL,LOC106543927,1227.693755,-1.047952396,0.455916356,0.001140895,0.027364469
scaffold-mi5,10615523,10623544,maker-scaffold-mi5-augustus-gene-35.11,abat,ABAT,ABAT,1125.9185,-2.488780142,0.566292872,1.1e-07,2.66e-05
scaffold-mi2,466313,476593,maker-scaffold-mi2-augustus-gene-1.23,kiaa1522,KIAA1522,KIAA1522,1929.846624,-1.067684686,0.476122004,0.001188048,0.027996994
scaffold-mi2,1150542,1153552,augustus_masked-scaffold-mi2-processed-gene-3.3,zc3h12a,ZC3H12A,ZC3H12A,484.3210706,2.454037919,1.051565828,8.94e-05,0.004674737
scaffold-mi2,2703272,2719210,maker-scaffold-mi2-augustus-gene-9.14,gnl1,LOC103067051,GNL1,16.26903629,1.252397921,0.772656809,0.002600367,0.046598494
scaffold-mi2,5780580,5782455,maker-scaffold-mi2-augustus-gene-19.21,NA,LOC103064858,LOC106547644,58.99000407,1.649589202,1.244314035,0.00190223,0.038196849
scaffold-mi2,6504625,6516521,maker-scaffold-mi2-augustus-gene-21.20,lypd3,LOC103060556,LYPD3,17.96731931,2.56362649,1.511833082,0.000235865,0.009509472
scaffold-mi2,7043378,7051693,augustus_masked-scaffold-mi2-processed-gene-23.7,LOC100566448,LOC103067266,NA,538.0689121,1.965486232,0.970700291,0.000286005,0.01089712
scaffold-mi2,6954701,6956864,maker-scaffold-mi2-augustus-gene-23.24,LOC100553581,LOC103061996,LOC106556212,64.61847479,-2.49320697,0.789216537,8.96e-06,0.000851911
scaffold-mi2,7611937,7636371,maker-scaffold-mi2-augustus-gene-25.10,vsig10l,VSIG10L,LOC106552598,14.93908264,-1.442270748,0.993043189,0.00239373,0.043877325
scaffold-mi2,8288023,8292741,maker-scaffold-mi2-augustus-gene-27.13,LOC100563944,LOC103057481,PRRT1,1746.611682,2.552390191,0.681985126,1.38e-06,0.000196067
scaffold-mi2,8003083,8011683,maker-scaffold-mi2-augustus-gene-27.23,NA,NA,NA,22.36403132,-1.561390488,1.134916226,0.00214541,0.040947646
scaffold-mi2,8003083,8011683,maker-scaffold-mi2-augustus-gene-27.23,NA,NA,NA,46.6021113,-2.421282947,1.133197792,0.000144704,0.006666314
scaffold-mi2,9287865,9289012,augustus_masked-scaffold-mi2-processed-gene-31.1,NA,NA,NA,6.593595482,-1.4254222,1.007835593,0.002658975,0.047161693
scaffold-mi2,15254540,15259837,maker-scaffold-mi2-augustus-gene-50.9,id2,ID3,ID3,1053.311694,-1.451500595,0.550402356,8.46e-05,0.00448021
scaffold-mi2,17909141,17930537,maker-scaffold-mi2-augustus-gene-59.12,pafah2,PAFAH2,PAFAH2,295.2577013,-1.236989651,0.649526568,0.001398584,0.031295596
scaffold-mi2,18476375,18478535,maker-scaffold-mi2-augustus-gene-61.7,tmem50a,TMEM50A,TMEM50A,50.49391668,1.888947356,0.614205844,9.67e-06,0.00089928
scaffold-mi7,922684,925623,maker-scaffold-mi7-augustus-gene-3.24,cptp,CPTP,GLTPD2,45.16178458,-1.044897787,0.510247166,0.002080013,0.040290334
scaffold-mi7,1272041,1276169,maker-scaffold-mi7-augustus-gene-4.22,tmem52,TMEM52,TMEM52,32.7747614,-1.191130339,0.720184759,0.002876224,0.049374784
scaffold-mi7,1272041,1276169,maker-scaffold-mi7-augustus-gene-4.22,tmem52,TMEM52,TMEM52,65.4495742,-1.364678243,0.732303822,0.001091064,0.026603298
