Chr,Start,End,GeneID,Homolog_Anolis,Homolog_Python,Homolog_Thamnophis,Module,Gene_MM,Gene_TS,baseMean,log2FoldChange,lfcSE,pvalue,padj
scaffold-mi2,9287865,9289012,augustus_masked-scaffold-mi2-processed-gene-31.1,NA,NA,NA,darkgreen,0.796418821,0.634159871,42.84732018,-2.315312889,0.982644647,0.000252097,0.007957642
scaffold-mi2,9287865,9289012,augustus_masked-scaffold-mi2-processed-gene-31.1,NA,NA,NA,darkgreen,0.796418821,0.634159871,90.26267057,-1.582531582,0.859187003,0.001783045,0.029951296
scaffold-mi2,9287865,9289012,augustus_masked-scaffold-mi2-processed-gene-31.1,NA,NA,NA,antiquewhite1,0.852168402,0.583210591,42.84732018,-2.315312889,0.982644647,0.000252097,0.007957642
scaffold-mi2,9287865,9289012,augustus_masked-scaffold-mi2-processed-gene-31.1,NA,NA,NA,antiquewhite1,0.852168402,0.583210591,90.26267057,-1.582531582,0.859187003,0.001783045,0.029951296
scaffold-mi7,3867330,3879446,maker-scaffold-mi7-augustus-gene-13.32,LOC100551744,LOC103048269,LOC106541081,burlywood,0.9319378,0.733208491,455.7715669,-2.391770407,0.9730774,0.000186348,0.006310571
scaffold-mi7,3881573,3892444,maker-scaffold-mi7-augustus-gene-13.43,LOC100563176,LOC103066171,LOC106541084,darkgreen,0.927411877,0.845547444,71.91029323,-3.071803891,0.762452192,1.18e-06,0.000143338
scaffold-mi7,3881573,3892444,maker-scaffold-mi7-augustus-gene-13.43,LOC100563176,LOC103066171,LOC106541084,darkgreen,0.927411877,0.845547444,22.86699038,-1.584507554,1.04389563,0.003215343,0.044567347
scaffold-Z,5319462,5330554,maker-scaffold-Z-augustus-gene-17.9,zmynd15,ZMYND15,ZMYND15,burlywood,0.819693495,0.854874922,18.50061841,-1.795536391,0.96449252,0.001292047,0.024363861
scaffold-Z,73378517,73383180,maker-scaffold-Z-augustus-gene-244.29,ccdc183,CCDC151,CCDC183,magenta2,0.952589113,0.796484181,39.39805847,-2.110702615,0.923308338,0.000373081,0.010463763
scaffold-Z,73370316,73377296,augustus_masked-scaffold-Z-processed-gene-244.16,mmgt1,LOC103065395,LOC106541966,antiquewhite1,0.880973396,0.726498729,686.7791702,-2.314278388,0.748216299,4.33e-05,0.002206531
scaffold-Z,76177000,76197977,maker-scaffold-Z-augustus-gene-254.4,LOC100554667,LOC103054127,LOC106540565,antiquewhite1,0.919961048,0.848294656,64.40850982,-2.301652016,0.764640021,5.49e-05,0.002648066
scaffold-Z,87779404,87782707,augustus_masked-scaffold-Z-processed-gene-292.2,itpr2,ITPR2,LOC106552147,burlywood,0.945132807,0.840906794,202.5713487,-1.442594079,0.704539353,0.00134619,0.025050422
scaffold-Z,102126461,102200775,augustus_masked-scaffold-Z-processed-gene-340.3,plekha4,PLEKHA4,PLEKHA4,burlywood,0.953864176,0.676757412,34.21836416,1.528245201,0.896794173,0.002531703,0.038277051
scaffold-ma4,100838,109419,augustus_masked-scaffold-ma4-processed-gene-0.4,tmem72,TMEM72,NA,magenta2,0.85885751,0.798722684,44.38434662,-3.226685778,1.014856944,1.23e-05,0.000841355
scaffold-ma4,25945125,26052642,maker-scaffold-ma4-augustus-gene-86.5,dock6,DOCK7,DOCK7,burlywood,0.85546412,0.577941253,194.9612667,-1.758708441,0.734365391,0.00042098,0.011316933
scaffold-ma4,25945125,26052642,maker-scaffold-ma4-augustus-gene-86.5,dock6,DOCK7,DOCK7,burlywood,0.85546412,0.577941253,54.66088537,-1.225719802,0.66265954,0.002810556,0.040804072
scaffold-ma4,90008215,90024316,maker-scaffold-ma4-augustus-gene-300.5,mtmr6,MTMR6,MTMR6,antiquewhite1,0.698732515,0.338979988,37.7534074,-2.075682543,0.74554368,0.000119837,0.004563798
scaffold-ma4,96140528,96155344,maker-scaffold-ma4-augustus-gene-320.6,pgr,PGR,NR3C1,darkgreen,0.751946784,0.6557805,16.25152391,-2.3591555,1.286980862,0.000532386,0.013235546
scaffold-mi9,6073469,6087246,maker-scaffold-mi9-augustus-gene-20.10,upb1,UPB1,UPB1,magenta2,0.895067456,0.777129417,25.91536546,-3.508280673,0.844533587,4.28e-07,7.01e-05
scaffold-mi9,6073469,6087246,maker-scaffold-mi9-augustus-gene-20.10,upb1,UPB1,UPB1,magenta2,0.928011088,0.772754577,25.91536546,-3.508280673,0.844533587,4.28e-07,7.01e-05
scaffold-ma7,6868929,6883578,maker-scaffold-ma7-augustus-gene-23.10,nudt9,NUDT9,TRPM2,antiquewhite1,0.885551615,0.975739722,9.939335835,-2.093555877,1.090313982,0.000758587,0.016814444
scaffold-ma7,36522819,36555104,maker-scaffold-ma7-augustus-gene-121.14,stox2,STOX2,STOX2,magenta2,0.881055447,0.483970819,22.64739837,2.790140987,1.362257363,0.000178975,0.006125359
scaffold-ma3,129610,130947,augustus_masked-scaffold-ma3-processed-gene-0.3,kcnv2,LOC103063916,LOC106553981,darkgreen,0.858496884,0.830894083,9.616976584,-1.670527929,1.513393771,0.002464264,0.037649688
scaffold-ma3,111291909,111321030,maker-scaffold-ma3-augustus-gene-371.7,lrrc8b,LRRC8B,LRRC8B,darkgreen,0.868464056,0.660211674,283.344735,-1.15843565,0.580784859,0.002188129,0.034728453
scaffold-ma3,152742826,152755913,augustus_masked-scaffold-ma3-processed-gene-509.1,syt2,SYT2,SYT2,magenta2,0.892038218,0.619252992,23.67797918,1.682599642,1.073065581,0.002525633,0.038273786
scaffold-ma1,56417493,56430145,maker-scaffold-ma1-augustus-gene-188.12,dnal1,DNAL1,DNAL1,darkgreen,0.822773909,0.540579669,239.3526115,1.079437756,0.440448794,0.000737417,0.016562808
scaffold-ma1,135258328,135307725,maker-scaffold-ma1-augustus-gene-451.9,abcb11,ABCB11,ABCB11,antiquewhite1,0.847280178,0.728731944,123.4033893,-1.763656225,0.670422817,0.000231723,0.007419072
scaffold-ma1,206253970,206275109,augustus_masked-scaffold-ma1-processed-gene-687.1,hnf1b,HNF1A,HNF1A,antiquewhite1,0.968236532,0.7678448,175.4665913,-3.058213079,0.674354262,1.63e-07,3.72e-05
scaffold-ma1,206253970,206275109,augustus_masked-scaffold-ma1-processed-gene-687.1,hnf1b,HNF1A,HNF1A,antiquewhite1,0.968236532,0.7678448,38.81517074,-2.706079662,0.829836628,1.93e-05,0.001200945
scaffold-ma1,206253970,206275109,augustus_masked-scaffold-ma1-processed-gene-687.1,hnf1b,HNF1A,HNF1A,antiquewhite1,0.888177148,0.670566101,175.4665913,-3.058213079,0.674354262,1.63e-07,3.72e-05
scaffold-ma1,206253970,206275109,augustus_masked-scaffold-ma1-processed-gene-687.1,hnf1b,HNF1A,HNF1A,antiquewhite1,0.888177148,0.670566101,38.81517074,-2.706079662,0.829836628,1.93e-05,0.001200945
scaffold-ma1,220022263,220031636,maker-scaffold-ma1-augustus-gene-733.9,c1h6orf203,LOC103064992,LOC106546879,antiquewhite1,0.899354807,0.704142306,151.0233649,-0.993553253,0.527065001,0.003641776,0.048871986
scaffold-ma1,220022263,220031636,maker-scaffold-ma1-augustus-gene-733.9,c1h6orf203,LOC103064992,LOC106546879,antiquewhite1,0.911561765,0.773639066,151.0233649,-0.993553253,0.527065001,0.003641776,0.048871986
scaffold-ma1,276985004,277015680,maker-scaffold-ma1-augustus-gene-923.6,haao,HAAO,HAAO,darkgreen,0.716401907,0.799317935,263.2244693,-2.150018991,0.737268205,7.97e-05,0.003440165
scaffold-ma5,50377457,50390603,maker-scaffold-ma5-augustus-gene-168.10,LOC100563006,LOC103056609,LOC106537859,antiquewhite1,0.722655948,0.521037087,68.50895306,-1.807716451,0.915752101,0.001021121,0.020794467
scaffold-ma5,50377457,50390603,maker-scaffold-ma5-augustus-gene-168.10,LOC100563006,LOC103056609,LOC106537859,antiquewhite1,0.650331116,0.445873712,68.50895306,-1.807716451,0.915752101,0.001021121,0.020794467
scaffold-ma5,63853488,63966020,augustus_masked-scaffold-ma5-processed-gene-213.1,xrn1,XRN1,XRN1,burlywood,0.789241462,0.870703461,182.8608157,-2.398963871,0.783212687,4.39e-05,0.002220877
scaffold-ma5,83830187,83866372,augustus_masked-scaffold-ma5-processed-gene-279.6,kng1,NA,LOC106550463,darkgreen,0.838978227,0.73760428,67.30748478,-2.135427326,1.016613017,0.000522016,0.013061325
scaffold-ma5,83830187,83866372,augustus_masked-scaffold-ma5-processed-gene-279.6,kng1,NA,LOC106550463,antiquewhite1,0.79459987,0.486069684,67.30748478,-2.135427326,1.016613017,0.000522016,0.013061325
scaffold-ma5,83874143,83882372,maker-scaffold-ma5-augustus-gene-279.16,LOC100562242,NA,NA,antiquewhite1,0.852913795,0.68914036,12238.25055,-1.639094515,0.713170024,0.000598742,0.014268803
scaffold-mi3,1001349,1040165,augustus_masked-scaffold-mi3-processed-gene-3.8,LOC100553810,TLN2,TLN1,magenta2,0.985818883,0.755747044,25.05719582,-1.435006166,0.895287451,0.003526205,0.047870564
scaffold-mi3,4097237,4102218,maker-scaffold-mi3-augustus-gene-13.23,LOC100567684,LOC103062077,LOC106539700,darkgreen,0.872130463,0.897350298,11.93886317,-2.104538621,1.176638103,0.000902947,0.019010821
scaffold-mi6,6152537,6177122,augustus_masked-scaffold-mi6-processed-gene-20.6,gpt2,GPT2,LOC106554518,burlywood,0.947192885,0.766886601,164.5002468,-2.47874519,0.85009632,5.97e-05,0.002847064
