Chr,Start,End,GeneID,Homolog_Anolis,Homolog_Python,Homolog_Thamnophis,Module,Gene_MM,Gene_TS
scaffold-mi4,59160,72969,augustus_masked-scaffold-mi4-processed-gene-0.1,efnb1,EFNB1,EFNB1,salmon1,0.874637292,0.608468962
scaffold-mi4,1070919,1082124,maker-scaffold-mi4-augustus-gene-3.10,pgk1,PGK1,PGK1,magenta,0.975322667,0.637382356
scaffold-mi4,2240508,2272805,augustus_masked-scaffold-mi4-processed-gene-7.0,heph,LOC103052308,HEPH,lavenderblush3,0.706990536,0.328749878
scaffold-mi4,2542384,2550435,augustus_masked-scaffold-mi4-processed-gene-8.4,rlim,RLIM,RLIM,magenta,0.781492374,0.258516992
scaffold-mi4,2826696,2847736,maker-scaffold-mi4-augustus-gene-9.17,LOC103281840,LOC103052848,LOC106555289,magenta,0.822580904,0.70032895
scaffold-mi4,3273871,3288181,maker-scaffold-mi4-augustus-gene-11.10,LOC100553398,LOC103053940,LOC106555226,magenta,0.379794554,0.587839292
scaffold-mi4,4117941,4121504,augustus_masked-scaffold-mi4-processed-gene-13.5,irs4,LOC103052062,IRS4,magenta,0.543439438,0.303005101
scaffold-mi4,4443509,4456826,maker-scaffold-mi4-augustus-gene-14.9,atg4a,ATG4A,ATG4A,magenta,0.822167029,0.458949698
scaffold-mi4,4590897,4594379,maker-scaffold-mi4-augustus-gene-15.11,ccm2,CCM2,CCM2,magenta,0.542202156,0.225720722
scaffold-mi4,4718101,4753900,augustus_masked-scaffold-mi4-processed-gene-15.5,smarca1,SMARCA1,LOC106549654,magenta,0.933192716,0.489342375
scaffold-mi4,6220072,6221082,augustus_masked-scaffold-mi4-processed-gene-20.6,cysltr1,CYSLTR1,CYSLTR1,magenta,0.576343272,0.094234566
scaffold-mi4,6128495,6128567,trnascan-scaffold-mi4-noncoding-Pseudo_AGA-gene-20.0,NA,NA,NA,lavenderblush3,0.766838104,0.705012741
scaffold-mi4,7169278,7208082,maker-scaffold-mi4-augustus-gene-24.4,rps6ka6,RPS6KA6,LOC106553190,magenta,0.828652257,0.630635233
scaffold-mi4,8100300,8128573,maker-scaffold-mi4-augustus-gene-27.12,znf185,LOC103060805,LOC106546717,magenta,0.926343696,0.616092735
scaffold-mi4,8145998,8156523,maker-scaffold-mi4-augustus-gene-27.15,vamp7,VAMP7,LOC106553561,salmon1,0.782500833,0.651463189
scaffold-mi4,8448290,8460668,maker-scaffold-mi4-augustus-gene-28.13,mpp1,MPP1,LOC106556546,magenta,0.926403326,0.522464134
scaffold-mi4,8667983,8700806,maker-scaffold-mi4-augustus-gene-29.9,net1,NET1,NET1,magenta,0.853557302,0.666218613
scaffold-mi4,9179281,9195020,maker-scaffold-mi4-augustus-gene-30.20,ptcd1,PTCD1,LOC106550896,magenta,0.914713177,0.497016008
scaffold-mi4,9166400,9175697,maker-scaffold-mi4-augustus-gene-30.19,pdap1,PDAP1,PDAP1,magenta,0.760365471,0.080282665
scaffold-mi4,9326107,9350151,maker-scaffold-mi4-augustus-gene-31.13,xpnpep2,XPNPEP2,XPNPEP1,magenta,0.833837235,0.50470157
scaffold-mi4,9449968,9468197,maker-scaffold-mi4-augustus-gene-31.30,aifm1,AIFM1,AIFM1,magenta,0.856598736,0.593463414
scaffold-mi4,9622990,9625431,maker-scaffold-mi4-augustus-gene-32.17,LOC100560991,AIP,AIP,magenta,0.537095942,0.178184912
scaffold-mi4,9720359,9728692,maker-scaffold-mi4-augustus-gene-32.18,xk,XKRX,LOC106551712,magenta,0.5583346,0.617064052
scaffold-mi4,13057361,13073373,maker-scaffold-mi4-augustus-gene-43.5,cdc123,CDC123,NA,magenta,0.890687753,0.536670496
scaffold-mi4,12883127,12905801,augustus_masked-scaffold-mi4-processed-gene-43.0,klhl4,KLHL4,LOC106547548,green2,0.945661555,0.724516852
scaffold-mi4,13046565,13051083,maker-scaffold-mi4-augustus-gene-43.10,nudt5,NUDT5,NUDT5,magenta,0.876956098,0.428093746
scaffold-mi4,13492050,13518070,maker-scaffold-mi4-augustus-gene-45.13,strip2,STRIP2,STRIP1,magenta,0.89303623,0.679720842
scaffold-mi4,13858262,13869093,maker-scaffold-mi4-augustus-gene-46.10,LOC100551992,LOC103051706,LOC106551099,magenta,0.591993656,0.575264895
scaffold-mi4,13858262,13869093,maker-scaffold-mi4-augustus-gene-46.10,LOC100551992,LOC103051706,LOC106551099,magenta,0.680595573,0.047770923
scaffold-mi4,13810993,13825141,maker-scaffold-mi4-augustus-gene-46.14,LOC100551596,ZNF572,LOC106548068,magenta,0.633488077,0.065649338
scaffold-mi4,14122027,14126447,maker-scaffold-mi4-augustus-gene-47.8,brs3,BRS3,GRPR,magenta,0.843374452,0.571957859
scaffold-mi4,14061801,14064224,maker-scaffold-mi4-augustus-gene-47.14,ube2a,UBE2A,UBE2A,magenta4,0.81849815,0.39747653
scaffold-mi4,14584227,14586090,maker-scaffold-mi4-augustus-gene-48.16,NA,NA,NA,magenta,0.762115606,0.857127034
scaffold-mi4,14529925,14562401,maker-scaffold-mi4-augustus-gene-48.21,atp11c,ATP11A,ATP11A,magenta,0.847404846,0.444769749
scaffold-mi5,560534,568423,augustus_masked-scaffold-mi5-processed-gene-1.6,brat1,BRAT1,BRAT1,magenta,0.861645065,0.708597808
scaffold-mi5,619707,625283,augustus_masked-scaffold-mi5-processed-gene-2.0,amz1,AMZ1,AMZ2,magenta4,0.883872372,0.338409389
scaffold-mi5,1427660,1448062,maker-scaffold-mi5-augustus-gene-4.11,pdgfa,PDGFA,PDGFA,magenta,0.651102564,0.109487107
scaffold-mi5,1396519,1402179,maker-scaffold-mi5-augustus-gene-4.16,rps3,RPS3,RPS3,magenta,0.853692073,0.476763336
scaffold-mi5,1304905,1333194,maker-scaffold-mi5-augustus-gene-4.15,dnaaf5,DNAAF5,DNAAF5,magenta,0.722105642,0.587296075
scaffold-mi5,1304905,1333194,maker-scaffold-mi5-augustus-gene-4.15,dnaaf5,DNAAF5,DNAAF5,salmon1,0.854091166,0.516494151
scaffold-mi5,2133153,2153789,maker-scaffold-mi5-augustus-gene-7.20,rsph10b,RSPH10B,RSPH1,magenta,0.701823857,0.053716036
scaffold-mi5,2156703,2166768,maker-scaffold-mi5-augustus-gene-7.21,pms2,PMS2,PMS2,magenta,0.909940818,0.455830479
scaffold-mi5,2547270,2553061,maker-scaffold-mi5-augustus-gene-8.11,cdr2,CDR2,CDR2,magenta,0.789077084,0.38586078
scaffold-mi5,2410365,2423163,maker-scaffold-mi5-augustus-gene-8.15,pex26,PEX26,NA,magenta4,0.670830711,0.459269058
scaffold-mi5,3115639,3121781,maker-scaffold-mi5-augustus-gene-10.16,NA,KNOP1,NA,navajowhite,0.897837215,0.570797988
scaffold-mi5,3124470,3159612,maker-scaffold-mi5-augustus-gene-10.26,LOC103281941,LOC103060404,LOC106550321,lavenderblush3,0.777073211,0.494976824
scaffold-mi5,2954191,2997153,augustus_masked-scaffold-mi5-processed-gene-10.2,LOC100563359,LOC103052383,LOC106543994,magenta,0.758988276,0.617611821
scaffold-mi5,2954191,2997153,augustus_masked-scaffold-mi5-processed-gene-10.2,LOC100563359,LOC103052383,LOC106543994,magenta,0.691514978,0.671582833
scaffold-mi5,2935633,2948308,maker-scaffold-mi5-augustus-gene-10.22,LOC100563167,LOC103065469,LOC106543986,magenta,0.652332199,0.441273468
scaffold-mi5,3301056,3353650,augustus_masked-scaffold-mi5-processed-gene-11.2,smg1,SMG1,SMG1,magenta,0.874560547,0.556881858
scaffold-mi5,3893584,3920688,maker-scaffold-mi5-augustus-gene-13.15,LOC100565460,GSPT1,LOC106539913,magenta,0.754270664,0.613407365
