Chr,Start,End,GeneID,Homolog_Anolis,Homolog_Python,Homolog_Thamnophis,baseMean,log2FoldChange,lfcSE,pvalue,padj
scaffold-mi4,7086194,7094837,maker-scaffold-mi4-augustus-gene-23.4,NA,NA,NA,31.93119513,1.704015008,1.104077034,0.000330429,0.029882146
scaffold-mi4,9476183,9480585,maker-scaffold-mi4-augustus-gene-31.21,rab33a,RAB33A,RAB33B,88.42771609,-1.826935353,0.632000674,1.89e-05,0.00563548
scaffold-mi2,3101054,3121580,maker-scaffold-mi2-augustus-gene-10.10,nfyc,NFYC,NFYC,150.222659,-1.698657969,1.104656654,0.000336138,0.029882146
scaffold-mi2,15134467,15181215,maker-scaffold-mi2-augustus-gene-50.8,msra,LOC103068096,LOC106555889,122.6833471,1.491816804,0.889565557,0.000487802,0.035382639
scaffold-mi2,19765293,19766171,augustus_masked-scaffold-mi2-processed-gene-65.7,LOC100567229,LOC103050067,LOC106540692,72.65919879,-1.501573491,0.740684779,0.000237631,0.024391239
scaffold-mi7,3828347,3831978,maker-scaffold-mi7-augustus-gene-12.36,snrpa,SNRPA,SNRPA,70.77968443,-1.289221284,0.599496119,0.000240278,0.024391239
scaffold-mi7,3833850,3845072,augustus_masked-scaffold-mi7-processed-gene-12.14,LOC100567337,LOC103049447,LOC106541105,33.24082193,-1.493509351,0.977011835,0.00059185,0.039708635
scaffold-mi7,10932862,10958970,maker-scaffold-mi7-augustus-gene-36.21,pemt,PEMT,NA,68.93962536,2.275675737,0.995885319,3.97e-05,0.00894645
scaffold-Z,175244,188275,maker-scaffold-Z-augustus-gene-0.14,LOC100555440,LOC103056254,LOC106542656,314.9263994,1.416562422,0.998756097,0.000797864,0.046868907
scaffold-Z,56209171,56227900,maker-scaffold-Z-augustus-gene-187.3,LOC100560412,SKI,SKI,9.04319207,1.192849341,1.290547108,0.000500989,0.035797648
scaffold-Z,70005303,70017516,maker-scaffold-Z-augustus-gene-233.4,bag1,BAG1,BAG1,83.58642699,-1.720523599,0.738966005,8.74e-05,0.013376687
