Chr,Start,End,GeneID,Homolog_Anolis,Homolog_Python,Homolog_Thamnophis,baseMean,log2FoldChange,lfcSE,pvalue,padj
scaffold-mi4,2753947,2755087,maker-scaffold-mi4-augustus-gene-9.11,ap1s2,AP1S1,AP1S1,242.8259327,1.777898463,0.955942847,0.000721058,0.042028347
scaffold-mi4,9558302,9570207,maker-scaffold-mi4-augustus-gene-31.28,btk,BTK,BTK,18.18711383,-2.845902919,1.403814494,0.000269627,0.021872391
scaffold-mi5,1137889,1154833,maker-scaffold-mi5-augustus-gene-3.11,LOC100555955,LOC103050164,LOC106556514,562.280071,3.203597739,1.128875908,6.56e-05,0.009606369
scaffold-mi5,9543835,9551478,maker-scaffold-mi5-augustus-gene-31.15,LOC100562512,LOC103051800,LOC106554195,11.51139539,3.069005557,2.277675944,0.000175622,0.017474351
scaffold-mi5,11000443,11009811,maker-scaffold-mi5-augustus-gene-36.3,st8sia5,ST8SIA6,ST8SIA5,69.35590249,-3.283792513,1.733503866,0.000162669,0.016843515
scaffold-mi2,7043378,7051693,augustus_masked-scaffold-mi2-processed-gene-23.7,LOC100566448,LOC103067266,NA,1671.999633,3.07152821,1.172112045,0.000102847,0.012474807
scaffold-mi2,8263446,8276871,maker-scaffold-mi2-augustus-gene-27.12,LOC100563944,LOC107326541,PRRT1,134.4995374,4.593381386,1.400821412,4.48e-06,0.001357231
scaffold-mi7,2163304,2164596,augustus_masked-scaffold-mi7-processed-gene-7.7,errfi1,ERRFI1,ERRFI1,266.4993095,4.194768734,1.073351938,1.96e-06,0.00071836
scaffold-mi7,3818575,3825033,maker-scaffold-mi7-augustus-gene-12.35,itpkc,ITPKC,ITPKC,136.9739544,3.816537986,0.83325119,3.05e-07,0.000149565
scaffold-mi7,3924431,3931106,maker-scaffold-mi7-augustus-gene-13.47,LOC100557568,LOC103066410,LOC106541107,105.5853813,-2.899408471,1.27013864,0.000190167,0.018210233
scaffold-mi7,3924431,3931106,maker-scaffold-mi7-augustus-gene-13.47,LOC100557568,LOC103066410,LOC106541107,15.81824985,-3.900283333,1.689975462,4.63e-05,0.007375679
scaffold-mi7,10914836,10917209,maker-scaffold-mi7-augustus-gene-36.20,rasd1,LOC103063195,RASD1,1262.44628,3.845545517,0.828339398,2.22e-07,0.000122985
scaffold-Z,392257,400362,maker-scaffold-Z-augustus-gene-1.4,LOC100566062,LOC103050100,LOC106545778,59.89990318,-2.59398553,1.756134943,0.000557335,0.036215387
scaffold-Z,2946064,2957264,maker-scaffold-Z-augustus-gene-10.5,slc22a13,LOC103066375,LOC106539887,239.3829462,-3.311200329,1.673416098,0.000149285,0.015977254
scaffold-Z,26417448,26426941,maker-scaffold-Z-augustus-gene-88.7,asb4,ASB4,ASB4,22.44165339,-3.190297188,1.923052354,0.000196974,0.018310163
scaffold-Z,43463372,43469968,maker-scaffold-Z-augustus-gene-144.8,eomes,EOMES,EOMES,71.4106213,-4.300671273,1.608871962,1.71e-05,0.003696259
scaffold-Z,94834998,94852625,maker-scaffold-Z-augustus-gene-316.10,LOC100562367,LOC103067344,LOC106539747,147.2288845,-3.323250982,1.366619027,9.76e-05,0.01232249
scaffold-ma4,77185402,77217346,maker-scaffold-ma4-augustus-gene-257.8,ift57,IFT57,IFT57,22.66189899,3.240070502,1.68000655,0.000171612,0.017474351
scaffold-ma4,77044772,77050641,maker-scaffold-ma4-augustus-gene-257.5,LOC100560639,LOC103051417,LOC106544689,130.4483694,-3.252084918,0.956848856,2.39e-05,0.004746519
scaffold-ma7,7480413,7577370,maker-scaffold-ma7-augustus-gene-25.2,fam13a,FAM13A,LOC106551651,61.01769979,3.466621722,2.266467099,9.48e-05,0.01232249
scaffold-ma7,12294262,12396422,augustus_masked-scaffold-ma7-processed-gene-41.1,adh5,LOC103067637,LOC106556012,15.60153039,-4.758124666,2.22927839,9.06e-06,0.002261466
scaffold-ma7,12294262,12396422,augustus_masked-scaffold-ma7-processed-gene-41.1,adh5,LOC103067637,LOC106556012,1347.219862,-4.505862515,0.993789059,1.17e-07,7.08e-05
scaffold-ma7,12294262,12396422,augustus_masked-scaffold-ma7-processed-gene-41.1,adh5,LOC103067637,LOC106556012,186.9452479,-5.632697505,1.267063581,2.07e-08,2.08e-05
scaffold-ma7,55251439,55270485,maker-scaffold-ma7-augustus-gene-184.12,lonrf1,LONRF1,LOC106547603,18.8989203,-2.609414054,2.405818362,0.000241676,0.020797172
scaffold-ma3,4195265,4204239,maker-scaffold-ma3-augustus-gene-14.4,ndrg1,NDRG1,LOC106541006,57.9700799,3.919912438,1.225114315,1.49e-05,0.003310393
scaffold-ma3,7209947,7210667,augustus_masked-scaffold-ma3-processed-gene-24.0,trib1,TRIB1,TRIB1,1659.246286,2.295144268,1.056412053,0.000360998,0.026736503
scaffold-ma3,7209947,7210667,augustus_masked-scaffold-ma3-processed-gene-24.0,trib1,TRIB1,TRIB1,52.59124494,2.889661446,1.260048984,0.000189619,0.018210233
scaffold-ma3,8332499,8346094,maker-scaffold-ma3-augustus-gene-27.8,fbxo32,FBXO32,FBXO32,176.1823629,3.344486272,1.269098095,7.41e-05,0.010331692
scaffold-ma3,16121803,16126348,maker-scaffold-ma3-augustus-gene-53.13,baalc,NA,NA,16.00519151,2.346260875,1.569065753,0.000788463,0.04543828
scaffold-ma3,27864587,27879279,maker-scaffold-ma3-augustus-gene-92.20,adhfe1,ADHFE1,LOC106544726,19.59179363,-4.655914856,1.644191897,7.72e-06,0.002091554
scaffold-ma3,32947410,32950728,maker-scaffold-ma3-augustus-gene-109.4,ppdpfl,PPDPFL,LOC106547392,308.0989512,2.925660906,1.80796593,0.000317006,0.024769261
scaffold-ma3,32995053,32998912,maker-scaffold-ma3-augustus-gene-110.1,snai2,SNAI2,SNAI2,25.92505752,-3.208345288,1.502733373,0.000154187,0.016229179
scaffold-ma3,98453394,98479334,maker-scaffold-ma3-augustus-gene-328.16,LOC100565455,F13B,F13B,87.48951233,-3.141106659,1.359399143,0.000140351,0.015409623
scaffold-ma3,121808310,121847013,maker-scaffold-ma3-augustus-gene-406.10,il23r,IL27RA,IL23R,16.38804327,-3.096669729,1.538602324,0.000199641,0.018310163
scaffold-ma3,127704053,127709205,maker-scaffold-ma3-augustus-gene-425.16,dio1,DIO1,DIO1,34.21987367,-3.484775753,1.195522025,4.22e-05,0.007200051
scaffold-ma3,142747942,142752238,maker-scaffold-ma3-augustus-gene-475.11,cpb2,CPB2,LOC106538569,417.8855418,-2.55076417,0.864193619,9.61e-05,0.01232249
scaffold-ma1,709172,713743,maker-scaffold-ma1-augustus-gene-2.13,LOC100566204,CDC34,UBE2R2,44.63562332,3.830590584,1.080870489,8.6e-06,0.0021908
scaffold-ma1,8915146,8923278,maker-scaffold-ma1-augustus-gene-29.12,arrdc3,ARRDC2,ARRDC2,102.1606488,2.747792635,2.326936038,0.000250473,0.020987018
scaffold-ma1,71917954,71923479,maker-scaffold-ma1-augustus-gene-239.11,fgf19,FGF19,FGF19,15.39375628,2.332460169,1.796604848,0.000855336,0.047570138
scaffold-ma1,84520448,84595570,augustus_masked-scaffold-ma1-processed-gene-282.0,LOC100563122,LOC103052227,LOC106549553,47.18557839,-2.240294366,1.960250384,0.000893759,0.048437959
scaffold-ma1,108258032,108280446,maker-scaffold-ma1-augustus-gene-361.2,gypc,GYPC,CNTNAP2,50.8512448,-2.192073723,1.157456883,0.000569825,0.036405958
scaffold-ma1,128511223,128518334,maker-scaffold-ma1-augustus-gene-428.4,nr4a2,NR4A2,NR4A1,16.4000227,2.184856732,2.186710957,0.000649114,0.039555571
