Chr,Start,End,GeneID,Homolog_Anolis,Homolog_Python,Homolog_Thamnophis,baseMean,log2FoldChange,lfcSE,pvalue,padj
scaffold-mi4,9558302,9570207,maker-scaffold-mi4-augustus-gene-31.28,btk,BTK,BTK,18.18711383,2.845902919,1.403814494,0.000269627,0.021872391
scaffold-mi5,1137889,1154833,maker-scaffold-mi5-augustus-gene-3.11,LOC100555955,LOC103050164,LOC106556514,562.280071,-3.203597739,1.128875908,6.56e-05,0.009606369
scaffold-mi5,11000443,11009811,maker-scaffold-mi5-augustus-gene-36.3,st8sia5,ST8SIA6,ST8SIA5,69.35590249,3.283792513,1.733503866,0.000162669,0.016843515
scaffold-ma3,121808310,121847013,maker-scaffold-ma3-augustus-gene-406.10,il23r,IL27RA,IL23R,16.38804327,3.096669729,1.538602324,0.000199641,0.018310163
scaffold-ma1,142274298,142290368,augustus_masked-scaffold-ma1-processed-gene-474.5,dhrs7b,DHRS7B,LOC106539589,42.7691151,2.786723287,1.264144691,0.000234505,0.020597607
scaffold-ma1,165669949,165710695,maker-scaffold-ma1-augustus-gene-552.11,setdb2,SETDB2,SETDB2,10.59811141,2.027968955,2.417328003,0.0003144,0.02471727
scaffold-ma1,164873525,164889522,maker-scaffold-ma1-augustus-gene-550.10,rcbtb2,RCBTB2,LOC106540260,16.55526924,-2.717760885,2.053211963,0.000401152,0.028702682
scaffold-mi3,1364193,1371334,maker-scaffold-mi3-augustus-gene-4.9,anxa2,ANXA2,ANXA2,267.2993592,2.692079024,1.032725783,0.000148145,0.015977254
scaffold-ma6,12144312,12156983,maker-scaffold-ma6-augustus-gene-40.3,psmb8,PSMB8,PSMB5,462.3340845,3.034489313,1.13902657,0.000100552,0.012433289
scaffold-ma6,44537181,44564917,maker-scaffold-ma6-augustus-gene-148.8,nr1h4,NR1H4,NR1H4,101.3647945,-2.116036553,1.201526936,0.000720434,0.042028347
scaffold-ma6,58636239,58637048,augustus_masked-scaffold-ma6-processed-gene-195.0,LOC107982730,LOC103061320,LOC106541018,78.73389323,3.593956926,1.341723077,5.08e-05,0.007889986
scaffold-ma2,111116550,111133367,maker-scaffold-ma2-augustus-gene-370.5,asic1,ASIC1,LOC106552611,22.20049321,4.195390988,1.345227185,1.13e-05,0.002766039
scaffold-mi8,209354,210364,augustus_masked-scaffold-mi8-processed-gene-0.7,LOC100562088,LOC103059882,LOC106547094,12.33313476,2.388124135,2.09158791,0.000617146,0.038647068
scaffold-un569,6437,6979,maker-scaffold-un569-augustus-gene-0.0,NA,NA,NA,36.78945,2.982668675,1.380855206,0.000199951,0.018310163
