Chr,Start,End,GeneID,Homolog_Anolis,Homolog_Python,Homolog_Thamnophis,baseMean,log2FoldChange,lfcSE,pvalue,padj
scaffold-mi4,2756986,2758771,maker-scaffold-mi4-augustus-gene-9.12,serpine1,SERPINE1,SERPINE1,9.374093782,1.98046244,1.587696505,0.001157694,0.022541664
scaffold-mi4,3346219,3355566,augustus_masked-scaffold-mi4-processed-gene-11.3,zc3h12b,ZC3H12B,ZC3H12B,7.474718949,1.767827888,1.655700196,0.001227054,0.02347955
scaffold-mi4,4117941,4121504,augustus_masked-scaffold-mi4-processed-gene-13.5,irs4,LOC103052062,IRS4,1496.61812,1.280540585,0.625002514,0.001635297,0.028169889
scaffold-mi4,6562980,6570073,maker-scaffold-mi4-augustus-gene-21.11,LOC100552957,LOC103060854,ERCC6L,71.46432339,2.070787054,1.162571948,0.000966999,0.020033641
scaffold-mi4,9731231,9745014,maker-scaffold-mi4-augustus-gene-32.19,LOC100562545,NOX1,LOC106557320,39.80650507,1.659597792,0.875313039,0.001443973,0.026024629
scaffold-mi4,14463725,14474215,maker-scaffold-mi4-augustus-gene-48.13,f9,F9,F9,32.25837557,-2.41302404,0.969098024,0.000169888,0.005918648
scaffold-mi4,14485168,14487062,maker-scaffold-mi4-augustus-gene-48.15,f9,F9,F9,238.3984979,-1.320834616,0.631165768,0.001399642,0.025751945
scaffold-mi5,2910617,2916538,maker-scaffold-mi5-augustus-gene-9.28,eri2,ERI2,ERI2,31.41231074,2.089478916,1.09152514,0.000770593,0.016935607
scaffold-mi5,7411214,7414613,augustus_masked-scaffold-mi5-processed-gene-24.6,NA,AQP8,AQP8,89.85909423,-2.134937966,1.267940201,0.000956571,0.01987059
scaffold-mi2,1150542,1153552,augustus_masked-scaffold-mi2-processed-gene-3.3,zc3h12a,ZC3H12A,ZC3H12A,138.6167231,4.202152346,0.925475119,2.91e-08,1.05e-05
scaffold-mi2,1696845,1707258,maker-scaffold-mi2-augustus-gene-5.17,ptp4a2,PTP4A2,PTP4A2,71.09327757,2.08173925,0.868982876,0.000303989,0.009083425
scaffold-mi2,5570719,5572952,augustus_masked-scaffold-mi2-processed-gene-18.9,LOC100563439,NECTIN2,NA,235.8549771,1.641830849,0.753369419,0.000791141,0.017265101
scaffold-mi2,5590706,5593354,augustus_masked-scaffold-mi2-processed-gene-18.16,LOC107982278,NECTIN2,LOC106547576,194.2071601,2.555337334,0.6833453,5e-06,0.000426927
scaffold-mi2,8321647,8325490,maker-scaffold-mi2-augustus-gene-27.16,LOC100563944,LOC107326157,NA,352.0586126,3.714769458,0.797155982,4.06e-08,1.31e-05
