Chr	Start	End	GeneID	Anolis	Python	Thamnophis	lfcMean_LiverTreat	lfcSE_LiverTreat	pAdj_LiverTreat	lfcMean_LiverInter	lfcSE_LiverInter	pAdj_LiverInter	lfcMean_KidneyTreat	lfcSE_KidneyTreat	pAdj_KidneyTreat	lfcMean_KidneyInter	lfcSE_KidneyInter	pAdj_KidneyInter	lfcMean_SkinTreat	lfcSE_SkinTreat	pAdj_SkinTreat
scaffold-mi4	2756986	2758771	maker-scaffold-mi4-augustus-gene-9.12	serpine1	SERPINE1	SERPINE1	1.98046244	1.587696505	0.022541664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-mi4	3346219	3355566	augustus_masked-scaffold-mi4-processed-gene-11.3	zc3h12b	ZC3H12B	ZC3H12B	1.767827888	1.655700196	0.02347955	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-mi4	4117941	4121504	augustus_masked-scaffold-mi4-processed-gene-13.5	irs4	LOC103052062	IRS4	1.280540585	0.625002514	0.028169889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-mi4	6562980	6570073	maker-scaffold-mi4-augustus-gene-21.11	LOC100552957	LOC103060854	ERCC6L	2.070787054	1.162571948	0.020033641	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-mi4	9731231	9745014	maker-scaffold-mi4-augustus-gene-32.19	LOC100562545	NOX1	LOC106557320	1.659597792	0.875313039	0.026024629	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-mi4	14463725	14474215	maker-scaffold-mi4-augustus-gene-48.13	f9	F9	F9	-2.41302404	0.969098024	0.005918648	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-mi4	14485168	14487062	maker-scaffold-mi4-augustus-gene-48.15	f9	F9	F9	-1.320834616	0.631165768	0.025751945	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-mi5	2910617	2916538	maker-scaffold-mi5-augustus-gene-9.28	eri2	ERI2	ERI2	2.089478916	1.09152514	0.016935607	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-mi2	1150542	1153552	augustus_masked-scaffold-mi2-processed-gene-3.3	zc3h12a	ZC3H12A	ZC3H12A	4.202152346	0.925475119	1.05E-05	NA	NA	NA	2.454037919	1.051565828	0.004674737	NA	NA	NA	NA	NA	NA
scaffold-mi2	1696845	1707258	maker-scaffold-mi2-augustus-gene-5.17	ptp4a2	PTP4A2	PTP4A2	2.08173925	0.868982876	0.009083425	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-mi2	5570719	5572952	augustus_masked-scaffold-mi2-processed-gene-18.9	LOC100563439	NECTIN2	NA	1.641830849	0.753369419	0.017265101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-mi2	5590706	5593354	augustus_masked-scaffold-mi2-processed-gene-18.16	LOC107982278	NECTIN2	LOC106547576	2.555337334	0.6833453	0.000426927	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-mi2	8321647	8325490	maker-scaffold-mi2-augustus-gene-27.16	LOC100563944	LOC107326157	NA	3.714769458	0.797155982	1.31E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-mi2	8308075	8311421	maker-scaffold-mi2-augustus-gene-27.15	LOC100563944	LOC103054967	PRRT1	2.58035535	0.909863954	0.002999512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-mi2	8288023	8292741	maker-scaffold-mi2-augustus-gene-27.13	LOC100563944	LOC103057481	PRRT1	1.849178417	0.622567229	0.003603169	NA	NA	NA	2.552390191	0.681985126	0.000196067	NA	NA	NA	NA	NA	NA
scaffold-mi2	8297230	8302017	augustus_masked-scaffold-mi2-processed-gene-27.4	LOC100563944	LOC103057722	PRRT1	2.581659613	0.76389468	0.001006937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-mi2	9287865	9289012	augustus_masked-scaffold-mi2-processed-gene-31.1	NA	NA	NA	-2.315312889	0.982644647	0.007957642	NA	NA	NA	-1.4254222	1.007835593	0.047161693	NA	NA	NA	NA	NA	NA
scaffold-mi2	9287865	9289012	augustus_masked-scaffold-mi2-processed-gene-31.1	NA	NA	NA	-1.582531582	0.859187003	0.029951296	NA	NA	NA	-1.4254222	1.007835593	0.047161693	NA	NA	NA	NA	NA	NA
scaffold-mi2	16567583	16620314	augustus_masked-scaffold-mi2-processed-gene-55.2	map3k6	MAP3K6	MAP3K6	1.568148614	0.99359324	0.042827572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-mi2	18476375	18478535	maker-scaffold-mi2-augustus-gene-61.7	tmem50a	TMEM50A	TMEM50A	1.22983871	0.672908377	0.042326127	NA	NA	NA	1.888947356	0.614205844	0.00089928	NA	NA	NA	NA	NA	NA
scaffold-mi7	648657	665464	maker-scaffold-mi7-augustus-gene-2.16	LOC103282339	LOC103062938	LOC106546457	1.239698724	0.640211103	0.035265581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-mi7	2970037	2978943	augustus_masked-scaffold-mi7-processed-gene-9.4	LOC100559998	SLC2A1	SLC2A1	2.553244537	1.566407381	0.009791082	NA	NA	NA	1.564300743	0.920549143	0.026933457	NA	NA	NA	NA	NA	NA
scaffold-mi7	2970037	2978943	augustus_masked-scaffold-mi7-processed-gene-9.4	LOC100559998	SLC2A1	SLC2A1	2.692016693	1.146577118	0.005396214	NA	NA	NA	1.564300743	0.920549143	0.026933457	NA	NA	NA	NA	NA	NA
scaffold-mi7	3532847	3534551	maker-scaffold-mi7-augustus-gene-11.51	dhx34	LOC103048127	DHX34	1.638173814	1.051742933	0.040367606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-mi7	3467239	3472507	maker-scaffold-mi7-augustus-gene-11.49	ca14	CA14	CA14	-3.336127456	0.935334615	0.000341147	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-mi7	3867330	3879446	maker-scaffold-mi7-augustus-gene-13.32	LOC100551744	LOC103048269	LOC106541081	-2.391770407	0.9730774	0.006310571	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
