Chr,Start,End,GeneID,Homolog_Anolis,Homolog_Python,Homolog_Thamnophis,Module,Gene_MM,Gene_TS
scaffold-mi4,59160,72969,augustus_masked-scaffold-mi4-processed-gene-0.1,efnb1,EFNB1,EFNB1,firebrick4,0.733598728,0.792940478
scaffold-mi4,926489,932871,maker-scaffold-mi4-augustus-gene-3.8,NA,YIPF6,YIPF6,midnightblue,0.752039702,0.407640515
scaffold-mi4,1125225,1159188,maker-scaffold-mi4-augustus-gene-3.11,amot,AMOT,AMOT,firebrick4,0.862830193,0.523411812
scaffold-mi4,1688422,1752205,maker-scaffold-mi4-augustus-gene-5.4,ophn1,OPHN1,OPHN1,bisque4,0.778858642,0.238839449
scaffold-mi4,1688422,1752205,maker-scaffold-mi4-augustus-gene-5.4,ophn1,OPHN1,OPHN1,bisque4,0.81116806,0.452341487
scaffold-mi4,2240508,2272805,augustus_masked-scaffold-mi4-processed-gene-7.0,heph,LOC103052308,HEPH,bisque4,0.822086944,0.503995754
scaffold-mi4,2240508,2272805,augustus_masked-scaffold-mi4-processed-gene-7.0,heph,LOC103052308,HEPH,midnightblue,0.5978549,0.211951763
scaffold-mi4,2173959,2205982,augustus_masked-scaffold-mi4-processed-gene-7.2,LOC103280655,LOC103065833,LOC106549372,midnightblue,0.696972377,0.41684483
scaffold-mi4,2637268,2654317,maker-scaffold-mi4-augustus-gene-8.12,LOC100564556,LOC103060915,LOC106548636,midnightblue,0.900460018,0.592356523
scaffold-mi4,2782116,2783952,maker-scaffold-mi4-augustus-gene-9.16,LOC100564160,LOC103065628,LOC106551053,bisque4,0.781239167,0.528603036
scaffold-mi4,3906767,3929049,maker-scaffold-mi4-augustus-gene-13.11,capn6,LOC103051404,LOC106554590,midnightblue,0.890379864,0.565743196
scaffold-mi4,6553571,6559385,maker-scaffold-mi4-augustus-gene-21.14,chmp1b,CHMP1B,CHMP1A,firebrick4,0.748359055,0.896674562
scaffold-mi4,8082900,8086625,maker-scaffold-mi4-augustus-gene-27.11,nsdhl,NSDHL,NSDHL,midnightblue,0.79543157,0.416982525
scaffold-mi4,8160270,8164558,maker-scaffold-mi4-augustus-gene-27.14,LOC100567864,LOC103059759,POLR2J,firebrick4,0.741400031,0.23327233
scaffold-mi4,8133076,8142954,maker-scaffold-mi4-augustus-gene-27.13,LOC100567666,LOC103059994,LOC106546719,firebrick4,0.720799473,0.539788184
scaffold-mi4,8753781,8761175,maker-scaffold-mi4-augustus-gene-29.14,faah2,FAAH2,FAAH2,midnightblue,0.934309295,0.665148946
scaffold-mi4,9189068,9192278,maker-scaffold-mi4-augustus-gene-30.14,cpsf4,CPSF4,NA,midnightblue,0.726181801,0.568430914
scaffold-mi4,9147926,9163420,augustus_masked-scaffold-mi4-processed-gene-30.1,arpc1b,ARPC1A,LOC106547585,bisque4,0.71161254,0.485715592
scaffold-mi4,9468301,9473359,maker-scaffold-mi4-augustus-gene-31.20,mars2,MARS2,MARS2,firebrick4,0.770082098,0.584687237
scaffold-mi4,9482542,9490989,augustus_masked-scaffold-mi4-processed-gene-31.7,rbmx2,RBMX2,RBMX2,midnightblue,0.795945857,0.758990559
scaffold-mi4,9761530,9765877,maker-scaffold-mi4-augustus-gene-32.20,trmt12,TRMT12,TRMT12,midnightblue,0.718146362,0.418876761
scaffold-mi4,11722409,11723243,maker-scaffold-mi4-augustus-gene-39.4,pcdh9,LOC103056063,LOC106555772,bisque4,0.87838277,0.643897717
scaffold-mi4,12883127,12905801,augustus_masked-scaffold-mi4-processed-gene-43.0,klhl4,KLHL4,LOC106547548,midnightblue,0.814170362,0.487291375
scaffold-mi4,12883127,12905801,augustus_masked-scaffold-mi4-processed-gene-43.0,klhl4,KLHL4,LOC106547548,midnightblue,0.80166594,0.537854234
scaffold-mi4,12926362,12953306,maker-scaffold-mi4-augustus-gene-43.8,stag2,STAG2,STAG2,bisque4,0.698983564,0.46835317
scaffold-mi4,13046565,13051083,maker-scaffold-mi4-augustus-gene-43.10,nudt5,NUDT5,NUDT5,midnightblue,0.734997167,0.613395022
scaffold-mi4,13595734,13621212,augustus_masked-scaffold-mi4-processed-gene-45.3,cul4b,CUL4B,CUL4B,firebrick4,0.666742775,0.427197287
scaffold-mi4,13751585,13768374,maker-scaffold-mi4-augustus-gene-46.8,LOC103278118,LOC103067195,LOC106548067,midnightblue,0.988135297,0.637299154
scaffold-mi4,13776701,13784245,augustus_masked-scaffold-mi4-processed-gene-46.1,NA,LOC103060130,LOC106548066,firebrick4,0.897093912,0.592500143
scaffold-mi4,13858262,13869093,maker-scaffold-mi4-augustus-gene-46.10,LOC100551992,LOC103051706,LOC106551099,bisque4,0.853429045,0.497288895
scaffold-mi4,13858262,13869093,maker-scaffold-mi4-augustus-gene-46.10,LOC100551992,LOC103051706,LOC106551099,midnightblue,0.909090975,0.60355861
scaffold-mi4,13810993,13825141,maker-scaffold-mi4-augustus-gene-46.14,LOC100551596,ZNF572,LOC106548068,midnightblue,0.754038485,0.421097539
scaffold-mi4,14132828,14137513,maker-scaffold-mi4-augustus-gene-47.9,htatsf1,HTATSF1,HTATSF1,midnightblue,0.937787085,0.707339488
scaffold-mi4,14061801,14064224,maker-scaffold-mi4-augustus-gene-47.14,ube2a,UBE2A,UBE2A,bisque4,0.814728189,0.286759128
scaffold-mi4,14194105,14199532,maker-scaffold-mi4-augustus-gene-47.21,rbmx,RBMX,RBMX,midnightblue,0.970363381,0.598048224
scaffold-mi4,14285558,14286737,maker-scaffold-mi4-augustus-gene-47.13,zic1,LOC103055856,LOC106539638,midnightblue,0.682525146,0.379445406
scaffold-mi4,15315861,15330679,maker-scaffold-mi4-augustus-gene-51.4,fmr1,FMR1,FMR1,midnightblue,0.919191326,0.612766546
scaffold-mi4,16041073,16067389,augustus_masked-scaffold-mi4-processed-gene-53.5,pasd1,LOC103047959,CLOCK,bisque4,0.731615245,0.341724178
scaffold-mi4,16072341,16090154,maker-scaffold-mi4-augustus-gene-53.19,LOC100554527,TBC1D8B,TBC1D8B,midnightblue,0.802795423,0.511908301
scaffold-mi4,16102061,16112488,maker-scaffold-mi4-augustus-gene-53.20,LOC100566066,RNF128,RNF128,midnightblue,0.716375578,0.861400537
scaffold-mi4,16206882,16221483,maker-scaffold-mi4-augustus-gene-54.16,mtmr1,MTMR1,MTM1,bisque4,0.89250096,0.467653197
scaffold-mi5,15952,32349,maker-scaffold-mi5-augustus-gene-0.11,tmem184a,TMEM184A,TMEM184B,firebrick4,0.870646597,0.69218524
scaffold-mi5,451442,468841,maker-scaffold-mi5-augustus-gene-1.23,snx8,SNX8,SNX8,midnightblue,0.849760698,0.32440986
scaffold-mi5,436870,442194,maker-scaffold-mi5-augustus-gene-1.21,mad1l1,LOC103053028,NA,midnightblue,0.773946156,0.401132392
scaffold-mi5,1230564,1232748,maker-scaffold-mi5-augustus-gene-4.8,foxk1,FOXK1,FOXK2,firebrick4,0.91311584,0.609724642
scaffold-mi5,1214624,1228518,maker-scaffold-mi5-augustus-gene-4.7,foxk1,FOXK1,FOXK2,midnightblue,0.687636473,0.342371904
scaffold-mi5,1396519,1402179,maker-scaffold-mi5-augustus-gene-4.16,rps3,RPS3,RPS3,firebrick4,0.65551742,0.455745842
scaffold-mi5,1304905,1333194,maker-scaffold-mi5-augustus-gene-4.15,dnaaf5,DNAAF5,DNAAF5,midnightblue,0.693295724,0.655891517
scaffold-mi5,1274279,1280353,maker-scaffold-mi5-augustus-gene-4.13,sun1,SUN1,LOC106547579,bisque4,0.859700543,0.592327718
scaffold-mi5,1283608,1298198,maker-scaffold-mi5-augustus-gene-4.14,sun1,SUN1,LOC106547580,midnightblue,0.897874428,0.766895491
scaffold-mi5,2177659,2200800,maker-scaffold-mi5-augustus-gene-7.23,eif2ak1,EIF2AK1,NA,midnightblue,0.718651203,0.464419541
scaffold-mi5,2685400,2696410,maker-scaffold-mi5-augustus-gene-9.30,LOC100568017,LOC103062051,LOC106544334,midnightblue,0.733637504,0.763683186
scaffold-mi5,3236383,3240799,maker-scaffold-mi5-augustus-gene-10.20,coq7,COQ7,NA,midnightblue,0.845033702,0.562904535
