Chr,Start,End,GeneID,Homolog_Anolis,Homolog_Python,Homolog_Thamnophis,baseMean,log2FoldChange,lfcSE,pvalue,padj
scaffold-mi5,2039138,2039650,augustus_masked-scaffold-mi5-processed-gene-6.6,bhlha15,BHLHA15,BHLHA15,129.726262,2.776192651,2.076815923,0.000302561,0.034462546
scaffold-mi5,7411214,7414613,augustus_masked-scaffold-mi5-processed-gene-24.6,NA,AQP8,AQP8,50.3865408,5.097338364,1.141768279,3.71e-07,0.000207454
scaffold-mi2,11907351,11917217,maker-scaffold-mi2-augustus-gene-39.4,edn1,EDN2,EDN3,10.82656207,2.273199343,2.389456363,0.000517562,0.049126279
scaffold-mi7,3560512,3563759,maker-scaffold-mi7-augustus-gene-11.39,NA,NA,NA,17.70345621,-2.911408308,2.239961687,0.000266135,0.032532985
scaffold-mi7,3924431,3931106,maker-scaffold-mi7-augustus-gene-13.47,LOC100557568,LOC103066410,LOC106541107,204.7016508,4.001538561,1.303749338,1.9e-05,0.004734899
scaffold-mi7,3924431,3931106,maker-scaffold-mi7-augustus-gene-13.47,LOC100557568,LOC103066410,LOC106541107,18.1567938,4.564098086,1.268357236,5.44e-06,0.001979885
scaffold-mi7,5869019,5870104,augustus_masked-scaffold-mi7-processed-gene-19.22,NA,LOC103049279,LOC106556351,65.11472833,3.888133542,1.897851328,6.56e-05,0.011281218
scaffold-mi7,10914836,10917209,maker-scaffold-mi7-augustus-gene-36.20,rasd1,LOC103063195,RASD1,1981.555412,2.099214512,1.516058608,0.000426944,0.043662725
scaffold-Z,392257,400362,maker-scaffold-Z-augustus-gene-1.4,LOC100566062,LOC103050100,LOC106545778,190.7642161,4.36421976,0.869848103,8.61e-08,6.87e-05
scaffold-Z,47779613,47795917,maker-scaffold-Z-augustus-gene-159.4,LOC107983016,ACPP,LOC106550725,423.2828539,1.196998284,2.771170737,0.000156705,0.021508385
scaffold-Z,98088072,98101777,maker-scaffold-Z-augustus-gene-327.9,LOC100563942,LOC103059228,LOC106550455,56.53008962,4.848505403,1.397362235,5.14e-06,0.001913392
scaffold-Z,102254745,102259346,maker-scaffold-Z-augustus-gene-340.16,fgf21,FGF21,FGF21,195.035149,-4.599313507,2.449411018,3.21e-05,0.006701995
scaffold-Z,111656603,111657469,augustus_masked-scaffold-Z-processed-gene-372.4,LOC107982730,LOC103061320,LOC106548597,164.4869707,3.956407638,0.98598624,3.81e-06,0.001703362
scaffold-ma4,63334816,63418917,augustus_masked-scaffold-ma4-processed-gene-211.0,tiam1,TIAM1,TIAM1,130.576444,1.817903628,1.235698298,0.000379745,0.039612475
scaffold-ma4,72656711,72664756,maker-scaffold-ma4-augustus-gene-242.10,gpr89b,LOC103061461,GPR89B,25.48994737,2.390856746,1.848184607,0.000426423,0.043662725
scaffold-ma4,95432808,95441330,maker-scaffold-ma4-augustus-gene-318.12,LOC100552848,LOC103066940,LOC106552779,164.7726332,-5.858790679,1.278014908,7.29e-08,6.76e-05
scaffold-mi9,4481372,4482040,augustus_masked-scaffold-mi9-processed-gene-15.1,LOC100561905,CLDN5,LOC106556674,256.4950273,-4.199340685,0.888276231,3.56e-07,0.000206467
scaffold-ma7,739270,746715,maker-scaffold-ma7-augustus-gene-2.13,jchain,JCHAIN,NA,159.6682713,4.665988535,2.121871297,2.58e-05,0.005774153
scaffold-ma7,3059245,3091953,maker-scaffold-ma7-augustus-gene-10.9,anxa3,ANXA3,ANXA4,15.54452603,3.280637276,1.428635203,7.77e-05,0.012936455
scaffold-ma7,9985114,9994228,maker-scaffold-ma7-augustus-gene-33.6,grid2,LOC103048614,GRID2,16.65793104,3.540071174,2.184835998,0.000122362,0.018588408
scaffold-ma7,22327290,22360714,augustus_masked-scaffold-ma7-processed-gene-74.1,frem3,LOC103060372,LOC106552494,288.4732244,1.958162164,0.53043241,1.25e-05,0.003841993
scaffold-ma3,4673972,4686184,augustus_masked-scaffold-ma3-processed-gene-15.8,oplah,OPLAH,OPLAH,60.35325944,2.24556225,1.602692361,0.000396691,0.041106092
scaffold-ma3,7857657,7863776,maker-scaffold-ma3-augustus-gene-26.20,pinlyp,LOC103060421,LOC106557187,15.65970842,4.917238453,2.225242801,1.91e-05,0.004734899
scaffold-ma3,113341848,113384091,maker-scaffold-ma3-augustus-gene-378.8,mcoln2,MCOLN2,MCOLN2,16.54566377,-2.885989089,2.752921161,0.00021125,0.027377839
scaffold-ma3,125625014,125661769,maker-scaffold-ma3-augustus-gene-418.4,LOC100555786,LOC103054626,LOC106539402,12.38715027,3.622531643,2.757445242,9.96e-05,0.015743488
scaffold-ma3,137060851,137070384,maker-scaffold-ma3-augustus-gene-456.11,LOC100554488,LOC103068242,LOC106547402,37.30926457,4.102792732,0.843756441,2.19e-07,0.000142756
scaffold-ma3,136976764,136982610,maker-scaffold-ma3-augustus-gene-456.10,LOC100553709,LOC103067998,LOC106547403,45.32958686,2.789113782,1.690941139,0.000220808,0.028089265
scaffold-ma1,92609113,92662681,maker-scaffold-ma1-augustus-gene-308.15,scube2,SCUBE2,SCUBE2,42.7113437,2.182865172,1.331641019,0.000276899,0.033586323
scaffold-ma1,142274298,142290368,augustus_masked-scaffold-ma1-processed-gene-474.5,dhrs7b,DHRS7B,LOC106539589,61.88263888,3.541813862,1.326582181,4.25e-05,0.008110481
scaffold-ma1,155765989,155855393,augustus_masked-scaffold-ma1-processed-gene-519.1,map2,MAP2,LOC106550954,24.82224295,5.863286098,2.132590824,4e-06,0.001717546
scaffold-ma1,270731861,270735669,maker-scaffold-ma1-augustus-gene-902.9,slc30a10,SLC30A10,SLC30A10,27.68664046,4.262462097,1.244133853,9.3e-06,0.003094413
scaffold-ma1,280406888,280422557,maker-scaffold-ma1-augustus-gene-934.6,slc22a7,SLC22A7,SLC22A7,86.95484985,8.49952009,1.371283098,3.56e-14,5.58e-10
scaffold-ma1,280406888,280422557,maker-scaffold-ma1-augustus-gene-934.6,slc22a7,SLC22A7,SLC22A7,343.3629523,5.123202404,0.963326393,8.02e-09,1.57e-05
scaffold-ma1,282234411,282243032,maker-scaffold-ma1-augustus-gene-940.6,mall,MALL,MALL,378.5496503,4.425629422,1.515877957,1.65e-05,0.004585384
scaffold-ma5,7351863,7381809,augustus_masked-scaffold-ma5-processed-gene-24.7,LOC100559406,LOC103059146,SFTPD,20.11959093,-2.63405027,2.894072893,0.000216931,0.02782234
scaffold-ma5,12556758,12567319,maker-scaffold-ma5-augustus-gene-42.7,LOC100565626,LOC103049947,LOC106538954,896.8179242,4.264969689,1.648001876,2.78e-05,0.006135109
scaffold-ma5,23691110,23697581,maker-scaffold-ma5-augustus-gene-79.5,NA,NA,NA,96.49946056,2.263603978,1.406979681,0.000286085,0.033959237
scaffold-ma5,76204124,76206169,augustus_masked-scaffold-ma5-processed-gene-254.1,LOC103278163,AKAP3,AKAP3,75.73312137,5.028751499,2.967109995,1.85e-05,0.004734899
scaffold-ma5,77528739,77546286,augustus_masked-scaffold-ma5-processed-gene-258.4,nceh1,NCEH1,NCEH1,45.20515325,2.583899854,2.435739142,0.000366906,0.038790378
scaffold-mi6,1989812,2000190,maker-scaffold-mi6-augustus-gene-6.6,LOC103282091,HSD17B2,HSD11B2,14.43034061,2.307756902,1.859095803,0.000477953,0.047332442
scaffold-ma6,24280450,24296614,augustus_masked-scaffold-ma6-processed-gene-81.0,irak4,IRAK4,LOC106556721,110.4344955,-2.594418339,0.746447898,1.79e-05,0.004734899
scaffold-ma6,58636239,58637048,augustus_masked-scaffold-ma6-processed-gene-195.0,LOC107982730,LOC103061320,LOC106541018,63.54021391,5.741426215,1.234742893,6.93e-08,6.76e-05
