Chr,Start,End,GeneID,Homolog_Anolis,Homolog_Python,Homolog_Thamnophis,Module,Gene_MM,Gene_TS
scaffold-mi4,1070919,1082124,maker-scaffold-mi4-augustus-gene-3.10,pgk1,PGK1,PGK1,darkgreen,0.844044966,0.48333221
scaffold-mi4,2893863,2948507,augustus_masked-scaffold-mi4-processed-gene-9.8,LOC100563056,FLT4,LOC106550713,darkgreen,0.906425782,0.615484965
scaffold-mi4,3906767,3929049,maker-scaffold-mi4-augustus-gene-13.11,capn6,LOC103051404,LOC106554590,darkgreen,0.908259312,0.642580657
scaffold-mi4,5969692,6084717,maker-scaffold-mi4-augustus-gene-20.7,tenm1,TENM1,TENM2,antiquewhite1,0.820154869,0.790344124
scaffold-mi4,8133076,8142954,maker-scaffold-mi4-augustus-gene-27.13,LOC100567666,LOC103059994,LOC106546719,darkgreen,0.770207224,0.375881871
scaffold-mi4,8448290,8460668,maker-scaffold-mi4-augustus-gene-28.13,mpp1,MPP1,LOC106556546,burlywood,0.884249457,0.612525987
scaffold-mi4,8560497,8566760,maker-scaffold-mi4-augustus-gene-28.17,mtcp1,MTCP1,MTCP1,darkgreen,0.943838032,0.689218038
scaffold-mi4,9106531,9115752,maker-scaffold-mi4-augustus-gene-30.18,kpna2,KPNA7,KPNA2,darkgreen,0.880617012,0.598740508
scaffold-mi4,9449968,9468197,maker-scaffold-mi4-augustus-gene-31.30,aifm1,AIFM1,AIFM1,darkgreen,0.856699973,0.50761463
scaffold-mi4,9605511,9611535,maker-scaffold-mi4-augustus-gene-32.16,rtel1,LOC103065692,LOC106550159,burlywood,0.706151735,0.205706456
scaffold-mi4,9584751,9595307,maker-scaffold-mi4-augustus-gene-32.15,taf7l,TAF7L,NA,darkgreen,0.77566325,0.499194847
scaffold-mi4,13242821,13248089,maker-scaffold-mi4-augustus-gene-44.4,thoc2,THOC2,LOC106540712,darkgreen,0.859611144,0.50393649
scaffold-mi4,13656262,13658868,augustus_masked-scaffold-mi4-processed-gene-45.9,NA,ATP1B4,NA,slateblue1,0.932388557,0.491142437
scaffold-mi4,14132828,14137513,maker-scaffold-mi4-augustus-gene-47.9,htatsf1,HTATSF1,HTATSF1,darkgreen,0.839555725,0.42369258
scaffold-mi4,15850563,15863686,maker-scaffold-mi4-augustus-gene-52.18,mamld1,MAMLD1,MAMLD1,slateblue1,0.794436289,0.615194884
scaffold-mi4,16072341,16090154,maker-scaffold-mi4-augustus-gene-53.19,LOC100554527,TBC1D8B,TBC1D8B,magenta2,0.814786107,0.428976854
scaffold-mi4,16139154,16180127,maker-scaffold-mi4-augustus-gene-54.15,LOC100558186,NRK,NRK,magenta2,0.950606358,0.702504135
scaffold-mi4,16206882,16221483,maker-scaffold-mi4-augustus-gene-54.16,mtmr1,MTMR1,MTM1,burlywood,0.828571869,0.530400543
scaffold-mi5,233747,244485,augustus_masked-scaffold-mi5-processed-gene-0.9,mad1l1,LOC103048714,LOC106542607,darkgreen,0.905302313,0.737440588
scaffold-mi5,560534,568423,augustus_masked-scaffold-mi5-processed-gene-1.6,brat1,BRAT1,BRAT1,burlywood,0.786841905,0.716466351
scaffold-mi5,1137889,1154833,maker-scaffold-mi5-augustus-gene-3.11,LOC100555955,LOC103050164,LOC106556514,magenta2,0.921900537,0.860159803
scaffold-mi5,1230564,1232748,maker-scaffold-mi5-augustus-gene-4.8,foxk1,FOXK1,FOXK2,darkgreen,0.885015147,0.506653137
scaffold-mi5,2156703,2166768,maker-scaffold-mi5-augustus-gene-7.21,pms2,PMS2,PMS2,magenta2,0.89152006,0.597150429
scaffold-mi5,2736147,2738111,maker-scaffold-mi5-augustus-gene-9.33,tmem159,TMEM159,TMEM159,darkgreen,0.871468513,0.676835175
scaffold-mi5,2890591,2893550,maker-scaffold-mi5-augustus-gene-9.35,NA,REXO5,NA,darkgreen,0.845268625,0.925387933
scaffold-mi5,3176719,3181757,maker-scaffold-mi5-augustus-gene-10.17,gde1,GDE1,GDE1,burlywood,0.77177229,0.622102899
scaffold-mi5,2954191,2997153,augustus_masked-scaffold-mi5-processed-gene-10.2,LOC100563359,LOC103052383,LOC106543994,darkgreen,0.839439865,0.927948959
scaffold-mi5,2954191,2997153,augustus_masked-scaffold-mi5-processed-gene-10.2,LOC100563359,LOC103052383,LOC106543994,darkgreen,0.864502406,0.783240231
scaffold-mi5,2954191,2997153,augustus_masked-scaffold-mi5-processed-gene-10.2,LOC100563359,LOC103052383,LOC106543994,darkgreen,0.963436411,0.868099448
scaffold-mi5,3827644,3854728,maker-scaffold-mi5-augustus-gene-12.11,pdxdc1,PDXDC1,GADL1,burlywood,0.989798958,0.752962796
scaffold-mi5,3782239,3798543,maker-scaffold-mi5-augustus-gene-12.13,rrm1,RRM1,RRM1,burlywood,0.871561983,0.704833065
scaffold-mi5,4056391,4071789,maker-scaffold-mi5-augustus-gene-13.16,NA,CPPED1,CPPED1,antiquewhite1,0.693685976,0.392465561
scaffold-mi5,4376187,4390242,maker-scaffold-mi5-augustus-gene-14.10,nubp1,NUBP2,NUBP2,darkgreen,0.821177762,0.742474567
scaffold-mi5,4403397,4416930,maker-scaffold-mi5-augustus-gene-14.13,NA,LOC107326082,NA,darkgreen,0.772837684,0.954362309
scaffold-mi5,5003114,5041421,maker-scaffold-mi5-augustus-gene-16.18,ntn3,LOC103054283,LOC106556478,magenta2,0.934439374,0.643246439
scaffold-mi5,4838928,4841509,maker-scaffold-mi5-augustus-gene-16.16,atp6v0c,ATP6V0C,ATP6V0C,burlywood,0.500363312,0.194100687
scaffold-mi5,4861986,4879545,maker-scaffold-mi5-augustus-gene-16.17,tbc1d24,TBC1D24,TBC1D24,darkgreen,0.888351613,0.627593791
scaffold-mi5,5965619,5976423,maker-scaffold-mi5-augustus-gene-20.12,rps2,RPS2,RPS2,darkgreen,0.887841998,0.625102977
scaffold-mi5,6862177,6862806,augustus_masked-scaffold-mi5-processed-gene-22.10,hs3st4,LOC103057836,LOC106538226,darkgreen,0.80092133,0.440814797
scaffold-mi5,7110056,7127152,augustus_masked-scaffold-mi5-processed-gene-23.7,usp31,USP31,USP31,darkgreen,0.869832642,0.66377932
scaffold-mi5,7110056,7127152,augustus_masked-scaffold-mi5-processed-gene-23.7,usp31,USP31,USP31,darkgreen,0.788212636,0.734748096
scaffold-mi5,7376052,7393561,maker-scaffold-mi5-augustus-gene-24.17,lcmt1,LCMT1,LCMT1,darkgreen,0.798045825,0.763521304
scaffold-mi5,7207261,7227533,maker-scaffold-mi5-augustus-gene-24.18,LOC100566401,LOC103063621,COG7,burlywood,0.822360135,0.634568563
scaffold-mi5,8613470,8636338,augustus_masked-scaffold-mi5-processed-gene-28.7,pmm2,PMM2,PMM2,burlywood,0.88746175,0.584258885
scaffold-mi5,8613470,8636338,augustus_masked-scaffold-mi5-processed-gene-28.7,pmm2,PMM2,PMM2,burlywood,0.894101379,0.651180063
scaffold-mi5,8477310,8484676,maker-scaffold-mi5-augustus-gene-28.17,hexdc,LOC103063121,LOC106547540,burlywood,0.835691533,0.893460845
scaffold-mi5,9870238,9882577,augustus_masked-scaffold-mi5-processed-gene-33.0,LOC100556287,RHBDL1,RHBDL1,burlywood,0.952537624,0.650842411
scaffold-mi5,10365767,10372153,maker-scaffold-mi5-augustus-gene-34.5,lmf1,LOC103056519,LOC106556645,magenta2,0.760694715,0.426006407
scaffold-mi5,10603231,10611478,maker-scaffold-mi5-augustus-gene-35.10,narfl,NARFL,NARFL,burlywood,0.766041908,0.43054283
scaffold-mi5,10859236,10862234,maker-scaffold-mi5-augustus-gene-36.4,slc25a6,SLC25A5,LOC106547817,darkgreen,0.859517746,0.576048396
scaffold-mi2,335857,339280,maker-scaffold-mi2-augustus-gene-1.15,ak2,AK2,AK2,antiquewhite1,0.857845043,0.802687896
scaffold-mi2,466313,476593,maker-scaffold-mi2-augustus-gene-1.23,kiaa1522,KIAA1522,KIAA1522,burlywood,0.801552117,0.616825789
scaffold-mi2,466313,476593,maker-scaffold-mi2-augustus-gene-1.23,kiaa1522,KIAA1522,KIAA1522,slateblue1,0.914983915,0.746954945
scaffold-mi2,315081,332366,augustus_masked-scaffold-mi2-processed-gene-1.9,azin2,AZIN2,ODC1,darkgreen,0.877378698,0.835309679
scaffold-mi2,1442386,1459986,augustus_masked-scaffold-mi2-processed-gene-4.12,LOC100556863,LOC103065088,LOC106549856,darkgreen,0.859726652,0.671999291
scaffold-mi2,1670502,1680526,maker-scaffold-mi2-augustus-gene-5.16,tmem39b,TMEM39B,TMEM39B,magenta2,0.810931481,0.748212792
scaffold-mi2,2643888,2655385,augustus_masked-scaffold-mi2-processed-gene-8.6,tinagl1,TINAGL1,LOC106548016,burlywood,0.794207673,0.494529508
scaffold-mi2,3384472,3586024,augustus_masked-scaffold-mi2-processed-gene-12.0,LOC103280987,LOC103061832,LOC106543972,antiquewhite1,0.740469239,0.838942408
scaffold-mi2,5174027,5178819,maker-scaffold-mi2-augustus-gene-17.7,tekt2,TEKT2,TEKT2,burlywood,0.923938657,0.532036553
scaffold-mi2,5491899,5493784,augustus_masked-scaffold-mi2-processed-gene-18.6,LOC100566266,CXCR3,LOC106550714,burlywood,0.780901565,0.481054006
scaffold-mi2,5522367,5524880,maker-scaffold-mi2-augustus-gene-18.23,LOC100556939,APOE,LOC106544063,darkgreen,0.912569188,0.733510698
scaffold-mi2,6355469,6359109,maker-scaffold-mi2-augustus-gene-21.12,itpr2,ITPR2,LOC106542145,burlywood,0.776906004,0.721669834
scaffold-mi2,6557042,6566434,maker-scaffold-mi2-augustus-gene-21.21,LOC107982888,LOC103065631,LOC106555917,magenta2,0.707961923,0.542614593
scaffold-mi2,6687387,6688881,maker-scaffold-mi2-augustus-gene-22.12,LOC100561256,LOC103067952,LOC106548857,antiquewhite1,0.723423737,0.898309639
scaffold-mi2,7611937,7636371,maker-scaffold-mi2-augustus-gene-25.10,vsig10l,VSIG10L,LOC106552598,burlywood,0.611290461,0.323761626
scaffold-mi2,9287865,9289012,augustus_masked-scaffold-mi2-processed-gene-31.1,NA,NA,NA,darkgreen,0.796418821,0.634159871
scaffold-mi2,9287865,9289012,augustus_masked-scaffold-mi2-processed-gene-31.1,NA,NA,NA,antiquewhite1,0.852168402,0.583210591
scaffold-mi2,10037751,10047058,maker-scaffold-mi2-augustus-gene-33.12,lin37,LIN37,LOC106552487,darkgreen,0.810857998,0.427383479
scaffold-mi2,10741658,10761432,maker-scaffold-mi2-augustus-gene-35.12,ptafr,PTAFR,PTAFR,darkgreen,0.987806508,0.754237515
scaffold-mi2,10765806,10794194,augustus_masked-scaffold-mi2-processed-gene-36.0,eya3,MIDN,MIDN,magenta2,0.886642451,0.479481445
scaffold-mi2,11049772,11082821,maker-scaffold-mi2-augustus-gene-37.3,scmh1,SCMH1,SCMH1,magenta2,0.74484542,0.289950956
scaffold-mi2,11964220,12001148,maker-scaffold-mi2-augustus-gene-40.3,hivep3,HIVEP3,HIVEP3,burlywood,0.817600254,0.513635115
scaffold-mi2,15134467,15181215,maker-scaffold-mi2-augustus-gene-50.8,msra,LOC103068096,LOC106555889,darkgreen,0.928755488,0.622952042
scaffold-mi2,17016034,17028587,augustus_masked-scaffold-mi2-processed-gene-56.5,gpatch3,GPATCH3,GPATCH3,antiquewhite1,0.725709915,0.542827433
scaffold-mi2,17271268,17308123,maker-scaffold-mi2-augustus-gene-57.12,rps6ka1,RPS6KA1,RPS6KA1,darkgreen,0.881601359,0.524033073
scaffold-mi7,824283,837749,maker-scaffold-mi7-augustus-gene-2.22,ccnl2,CCNL2,CCNL2,magenta2,0.855830632,0.516321546
scaffold-mi7,1146459,1158747,maker-scaffold-mi7-augustus-gene-3.23,mmp23b,MMP23B,MMP23B,magenta2,0.985818883,0.755747044
scaffold-mi7,1922400,1926450,augustus_masked-scaffold-mi7-processed-gene-6.17,NA,LOC103047969,SLC45A1,burlywood,0.909563756,0.581730292
scaffold-mi7,2241427,2246262,maker-scaffold-mi7-augustus-gene-7.29,cd36,CD36,LOC106556247,burlywood,0.989798958,0.752962796
scaffold-mi7,3125696,3127838,maker-scaffold-mi7-augustus-gene-10.33,NA,AGMAT,AGMAT,magenta2,0.683439278,0.42942882
scaffold-mi7,3202047,3210381,maker-scaffold-mi7-augustus-gene-10.55,arhgef11,ARHGEF11,ARHGEF11,burlywood,0.828676117,0.535194253
scaffold-mi7,3765871,3780283,maker-scaffold-mi7-augustus-gene-12.34,sipa1l3,SIPA1L3,SIPA1L3,burlywood,0.874077357,0.550420916
scaffold-mi7,3765871,3780283,maker-scaffold-mi7-augustus-gene-12.34,sipa1l3,SIPA1L3,SIPA1L3,antiquewhite1,0.829111829,0.944852412
scaffold-mi7,3833850,3845072,augustus_masked-scaffold-mi7-processed-gene-12.14,LOC100567337,LOC103049447,LOC106541105,darkgreen,0.732999732,0.46325225
scaffold-mi7,3833850,3845072,augustus_masked-scaffold-mi7-processed-gene-12.14,LOC100567337,LOC103049447,LOC106541105,antiquewhite1,0.747678531,0.490717167
scaffold-mi7,3710819,3715767,maker-scaffold-mi7-augustus-gene-12.31,pld3,PLD3,PLD3,burlywood,0.894309219,0.858447268
scaffold-mi7,3716863,3721117,maker-scaffold-mi7-augustus-gene-12.32,cfh19orf47,LOC103052766,LOC106541074,burlywood,0.842757273,0.696534181
scaffold-mi7,3744261,3755512,augustus_masked-scaffold-mi7-processed-gene-12.20,LOC103279330,NA,WDR87,burlywood,0.945728616,0.636919737
scaffold-mi7,3782175,3788121,maker-scaffold-mi7-augustus-gene-12.49,dpf1,DPF1,DPF1,magenta2,0.908757042,0.744639081
scaffold-mi7,3646026,3660581,maker-scaffold-mi7-augustus-gene-12.46,sptbn4,SPTBN4,SPTBN4,burlywood,0.905632973,0.843117398
scaffold-mi7,3981177,3994424,maker-scaffold-mi7-augustus-gene-13.35,mark4,MARK4,MARK3,burlywood,0.794514247,0.596505458
scaffold-mi7,3867330,3879446,maker-scaffold-mi7-augustus-gene-13.32,LOC100551744,LOC103048269,LOC106541081,burlywood,0.9319378,0.733208491
scaffold-mi7,3953260,3967448,maker-scaffold-mi7-augustus-gene-13.49,LOC103282020,EXOC3L2,EXOC3L2,darkgreen,0.772121249,0.416297203
scaffold-mi7,3881573,3892444,maker-scaffold-mi7-augustus-gene-13.43,LOC100563176,LOC103066171,LOC106541084,darkgreen,0.927411877,0.845547444
scaffold-mi7,4159311,4165420,augustus_masked-scaffold-mi7-processed-gene-13.28,LOC100566840,EML2,LOC106553253,burlywood,0.737126798,0.45961513
scaffold-mi7,4273630,4280899,augustus_masked-scaffold-mi7-processed-gene-14.11,LOC100558967,LOC103054376,LOC106554809,burlywood,0.573631532,0.179774439
scaffold-mi7,4515476,4528655,maker-scaffold-mi7-augustus-gene-15.17,dll3,DLL3,LOC106554718,burlywood,0.841532691,0.849457246
scaffold-mi7,4740652,4761019,maker-scaffold-mi7-augustus-gene-15.32,arhgap35,ARHGAP35,ARHGAP35,burlywood,0.858815981,0.541715087
scaffold-mi7,4642644,4646582,maker-scaffold-mi7-augustus-gene-15.29,LOC103281988,THAP8,LOC106550202,darkgreen,0.80093851,0.602492433
scaffold-mi7,4537178,4539675,maker-scaffold-mi7-augustus-gene-15.18,chp2,LOC103050226,CHP1,darkgreen,0.866495193,0.744905762
scaffold-mi7,5544484,5551572,maker-scaffold-mi7-augustus-gene-18.21,morn5,MORN5,MORN2,burlywood,0.660943841,0.296250068
scaffold-mi7,5915159,5944937,maker-scaffold-mi7-augustus-gene-19.33,exd3,EXD3,EXD3,magenta2,0.858970379,0.612206555
scaffold-mi7,5796278,5805060,maker-scaffold-mi7-augustus-gene-19.42,LOC100558783,LOC103066999,LOC106548819,burlywood,0.893319586,0.606465861
scaffold-mi7,5754207,5793616,maker-scaffold-mi7-augustus-gene-19.38,LOC100558314,RGS3,RGS3,darkgreen,0.829068995,0.587568383
scaffold-mi7,5754207,5793616,maker-scaffold-mi7-augustus-gene-19.38,LOC100558314,RGS3,RGS3,darkgreen,0.801457434,0.7029197
scaffold-mi7,5754207,5793616,maker-scaffold-mi7-augustus-gene-19.38,LOC100558314,RGS3,RGS3,darkgreen,0.739849274,0.494014242
